race_concept_id,age_group,gender_concept_id,count
8516,40 - 49,8532,32620
8516,50 - 59,8507,19352
8516,50 - 59,8532,29200
8516,60 - 69,8507,18641
8516,30 - 39,8532,66374
8516,40 - 49,8507,12447
8516,70 - 79,8532,23103
8516,60 - 69,8532,30704
8516,30 - 39,8507,13000
8516,20 - 29,8532,83652
8516,,8507,20771
8516,70 - 79,8507,10446
8516,20 - 29,8507,9486
8516,80 - 89,8507,3841
8516,80 - 89,8532,12963
8516,10 - 19,8507,139007
8516,,8532,23833
8516,10 - 19,8532,143543
8516,0 - 9,8532,178556
8516,0 - 9,8507,179628
