race_concept_id,age_group,gender_concept_id,count
8522,50 - 59,8507,21168
8522,40 - 49,8507,11505
8522,60 - 69,8507,13298
8522,,8532,24420
8522,40 - 49,8532,15053
8522,60 - 69,8532,17894
8522,70 - 79,8532,9418
8522,50 - 59,8532,23658
8522,70 - 79,8507,5063
8522,20 - 29,8507,26446
8522,30 - 39,8532,19559
8522,80 - 89,8507,1843
8522,20 - 29,8532,28353
8522,30 - 39,8507,14499
8522,,8551,3402
8522,80 - 89,8532,4717
8522,0 - 9,8507,56350
8522,,8507,24033
8522,10 - 19,8507,34856
8522,0 - 9,8532,49299
8522,10 - 19,8532,26775
