race_concept_id,age_group,gender_concept_id,count
8527,40 - 49,8532,21372
8527,70 - 79,8507,10916
8527,50 - 59,8532,17324
8527,70 - 79,8532,21678
8527,60 - 69,8532,21943
8527,40 - 49,8507,11084
8527,60 - 69,8507,13506
8527,50 - 59,8507,13177
8527,30 - 39,8507,11472
8527,30 - 39,8532,45055
8527,20 - 29,8507,6872
8527,80 - 89,8532,14840
8527,,8532,34022
8527,20 - 29,8532,62185
8527,,8507,30350
8527,80 - 89,8507,4923
8527,10 - 19,8507,121943
8527,10 - 19,8532,123296
8527,0 - 9,8507,181376
8527,0 - 9,8532,173677
