race_concept_id,age_group,gender_concept_id,count
American Indian or Alaska Native,60 - 69,Female,89
American Indian or Alaska Native,60 - 69,Male,48
American Indian or Alaska Native,70 - 79,Female,53
American Indian or Alaska Native,30 - 39,Male,34
American Indian or Alaska Native,70 - 79,Male,21
American Indian or Alaska Native,50 - 59,Male,57
American Indian or Alaska Native,40 - 49,Female,101
American Indian or Alaska Native,50 - 59,Female,93
American Indian or Alaska Native,40 - 49,Male,30
American Indian or Alaska Native,,Male,30
American Indian or Alaska Native,30 - 39,Female,203
American Indian or Alaska Native,,Female,32
American Indian or Alaska Native,80 - 89,Female,16
American Indian or Alaska Native,10 - 19,Female,411
American Indian or Alaska Native,10 - 19,Male,322
American Indian or Alaska Native,20 - 29,Female,343
American Indian or Alaska Native,20 - 29,Male,27
American Indian or Alaska Native,0 - 9,Male,535
American Indian or Alaska Native,0 - 9,Female,527
Asian,50 - 59,Female,431
Asian,70 - 79,Female,2433
Asian,70 - 79,Male,1687
Asian,30 - 39,Male,542
Asian,40 - 49,Male,464
Asian,80 - 89,Female,1234
Asian,80 - 89,Male,867
Asian,40 - 49,Female,793
Asian,60 - 69,Male,863
Asian,20 - 29,Male,273
Asian,60 - 69,Female,1342
Asian,30 - 39,Female,1880
Asian,20 - 29,Female,1738
Asian,50 - 59,Male,342
Asian,,Male,2965
Asian,,Female,2913
Asian,10 - 19,Female,5261
Asian,10 - 19,Male,5512
Asian,0 - 9,Male,7901
Asian,0 - 9,Female,7382
Black or African American,40 - 49,Female,32620
Black or African American,50 - 59,Male,19352
Black or African American,50 - 59,Female,29200
Black or African American,60 - 69,Male,18641
Black or African American,30 - 39,Female,66374
Black or African American,40 - 49,Male,12447
Black or African American,70 - 79,Female,23103
Black or African American,60 - 69,Female,30704
Black or African American,30 - 39,Male,13000
Black or African American,20 - 29,Female,83652
Black or African American,,Male,20771
Black or African American,70 - 79,Male,10446
Black or African American,20 - 29,Male,9486
Black or African American,80 - 89,Male,3841
Black or African American,80 - 89,Female,12963
Black or African American,10 - 19,Male,139007
Black or African American,,Female,23833
Black or African American,10 - 19,Female,143543
Black or African American,0 - 9,Female,178556
Black or African American,0 - 9,Male,179628
Other Race,50 - 59,Male,21168
Other Race,40 - 49,Male,11505
Other Race,60 - 69,Male,13298
Other Race,,Female,24420
Other Race,40 - 49,Female,15053
Other Race,60 - 69,Female,17894
Other Race,70 - 79,Female,9418
Other Race,50 - 59,Female,23658
Other Race,70 - 79,Male,5063
Other Race,20 - 29,Male,26446
Other Race,30 - 39,Female,19559
Other Race,80 - 89,Male,1843
Other Race,20 - 29,Female,28353
Other Race,30 - 39,Male,14499
Other Race,,8551,3402
Other Race,80 - 89,Female,4717
Other Race,0 - 9,Male,56350
Other Race,,Male,24033
Other Race,10 - 19,Male,34856
Other Race,0 - 9,Female,49299
Other Race,10 - 19,Female,26775
White,40 - 49,Female,21372
White,70 - 79,Male,10916
White,50 - 59,Female,17324
White,70 - 79,Female,21678
White,60 - 69,Female,21943
White,40 - 49,Male,11084
White,60 - 69,Male,13506
White,50 - 59,Male,13177
White,30 - 39,Male,11472
White,30 - 39,Female,45055
White,20 - 29,Male,6872
White,80 - 89,Female,14840
White,,Female,34022
White,20 - 29,Female,62185
White,,Male,30350
White,80 - 89,Male,4923
White,10 - 19,Male,121943
White,10 - 19,Female,123296
White,0 - 9,Male,181376
White,0 - 9,Female,173677
