race_concept_id,age_group,gender_concept_id,count
8527,50 - 59,8532,212
8527,50 - 59,8507,92
8527,60 - 69,8532,175
8522,30 - 39,8532,68
8527,40 - 49,8532,151
8522,60 - 69,8507,52
8522,40 - 49,8507,52
8516,30 - 39,8532,131
8516,40 - 49,8532,144
8516,30 - 39,8507,52
8516,50 - 59,8532,174
8527,40 - 49,8507,66
8527,70 - 79,8532,76
8527,60 - 69,8507,66
8516,70 - 79,8532,23
8527,70 - 79,8507,17
8527,30 - 39,8532,137
8527,20 - 29,8507,14
8527,30 - 39,8507,51
8516,20 - 29,8532,73
8516,60 - 69,8532,95
8522,20 - 29,8507,40
8516,40 - 49,8507,56
8516,50 - 59,8507,83
8522,40 - 49,8532,79
8527,80 - 89,8532,24
8527,20 - 29,8532,100
8516,60 - 69,8507,49
8522,,8551,22
8522,50 - 59,8532,133
8522,30 - 39,8507,34
8522,50 - 59,8507,98
8522,60 - 69,8532,58
8522,20 - 29,8532,68
8527,10 - 19,8532,148
8516,10 - 19,8532,143
8522,10 - 19,8507,37
8527,10 - 19,8507,71
8516,10 - 19,8507,73
8522,10 - 19,8532,34
8516,20 - 29,8507,33
8516,0 - 9,8532,15
8527,0 - 9,8507,15
8527,0 - 9,8532,11
